   0.0089502117    0.017882392   0.0010000000 -0.00087583476
    0.017801417    0.026724583   0.0020000000    -0.29993566
    0.026554603    0.035468754   0.0030000000    -0.47405982
    0.035210742    0.044115880   0.0040000000    -0.59703454
    0.043770802    0.052666928   0.0050000000    -0.69198363
    0.052235739    0.061122852   0.0060000000    -0.76920702
    0.060606498    0.069484600   0.0070000000    -0.83419904
    0.068884017    0.077753109   0.0080000000    -0.89023929
    0.077069223    0.085929306   0.0090000000    -0.93944320
    0.085163036    0.094014110    0.010000000    -0.98325515
    0.093166364     0.10200843    0.011000000     -1.0227054
     0.10108011     0.10991317    0.012000000     -1.0585546
     0.10890516     0.11772921    0.013000000     -1.0913804
     0.11664240     0.12545745    0.014000000     -1.1216318
     0.12429270     0.13309875    0.015000000     -1.1496649
     0.13185694     0.14065398    0.016000000     -1.1757665
     0.13933596     0.14812399    0.017000000     -1.2001715
     0.14673061     0.15550964    0.018000000     -1.2230741
     0.15404173     0.16281176    0.019000000     -1.2446373
     0.16127015     0.17003118    0.020000000     -1.2649989
     0.16841671     0.17716873    0.021000000     -1.2842765
     0.17548220     0.18422523    0.022000000     -1.3025712
     0.18246744     0.19120147    0.023000000     -1.3199708
     0.18937323     0.19809826    0.024000000     -1.3365517
     0.19620035     0.20491638    0.025000000     -1.3523810
     0.20294959     0.21165663    0.026000000     -1.3675180
     0.20962173     0.21831977    0.027000000     -1.3820151
     0.21621753     0.22490657    0.028000000     -1.3959191
     0.22273775     0.23141779    0.029000000     -1.4092718
     0.22918314     0.23785419    0.030000000     -1.4221110
     0.23555445     0.24421651    0.031000000     -1.4344703
     0.24185242     0.25050548    0.032000000     -1.4463806
     0.24807776     0.25672183    0.033000000     -1.4578696
     0.25423122     0.26286630    0.034000000     -1.4689627
     0.26031350     0.26893958    0.035000000     -1.4796830
     0.26632531     0.27494240    0.036000000     -1.4900516
     0.27226735     0.28087545    0.037000000     -1.5000881
     0.27814032     0.28673943    0.038000000     -1.5098103
     0.28394490     0.29253502    0.039000000     -1.5192347
     0.28968177     0.29826290    0.040000000     -1.5283765
     0.29535161     0.30392376    0.041000000     -1.5372498
     0.30095509     0.30951824    0.042000000     -1.5458677
     0.30649286     0.31504703    0.043000000     -1.5542425
     0.31196558     0.32051076    0.044000000     -1.5623853
     0.31737389     0.32591009    0.045000000     -1.5703068
     0.32271844     0.33124565    0.046000000     -1.5780167
     0.32799987     0.33651809    0.047000000     -1.5855245
     0.33321879     0.34172803    0.048000000     -1.5928386
